GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BMSMontioring,test.java.battery,TestBatteryCurrentMonitor,76,0,0,0,13,0,4,0,4,0
BMSMontioring,main.java.battery,BatteryCurrentMonitor,11,73,2,6,3,19,3,6,1,4
